Прибор: ;Hydra-L (01); ; Интервал: ;2022-05-05 00:00:00; / ;2022-06-02 00:00:00;
Date;BME280_temp;BME280_pressure;BME280_humidity;
2022-06-01 00:00:23;23.33;751.09;44.08;
2022-06-01 00:01:23;23.28;751.07;44.26;
2022-06-01 00:02:23;23.28;751.07;44.26;
2022-06-01 00:03:23;23.31;751.05;44.16;
2022-06-01 00:04:23;23.32;751.05;44.05;
2022-06-01 00:05:23;23.32;751.02;44.14;
2022-06-01 00:06:23;23.3;751.04;44.13;
2022-06-01 00:07:23;23.32;751.05;44.06;
2022-06-01 00:08:23;23.3;751.06;44.08;
2022-06-01 00:09:23;23.34;751.05;43.96;
2022-06-01 00:10:23;23.3;751.09;44;
2022-06-01 00:11:23;23.29;751.1;44.12;
2022-06-01 00:12:23;23.27;751.08;44.13;
2022-06-01 00:13:23;23.3;751.06;44.03;
2022-06-01 00:14:23;23.27;751.06;44.17;
2022-06-01 00:15:23;23.26;751.01;44.26;
2022-06-01 00:16:23;23.31;751.04;44.18;
2022-06-01 00:17:23;23.3;751;44.06;
2022-06-01 00:18:23;23.29;751.06;44.24;
2022-06-01 00:19:23;23.3;751.03;44.13;
2022-06-01 00:20:23;23.31;751.05;44.1;
2022-06-01 00:21:23;23.29;751.06;44.13;
2022-06-01 00:22:24;23.29;751.11;44.18;
2022-06-01 00:23:23;23.3;751.09;44.15;
2022-06-01 00:24:23;23.29;751.07;44.13;
2022-06-01 00:25:23;23.29;751.11;44.16;
2022-06-01 00:26:23;23.29;751.1;44.13;
2022-06-01 00:27:23;23.3;751.12;44.09;
2022-06-01 00:28:23;23.28;751.12;44.23;
2022-06-01 00:29:23;23.28;751.09;44.18;
2022-06-01 00:30:23;23.3;751.07;44.15;
2022-06-01 00:31:23;23.3;751.06;44.17;
2022-06-01 00:32:23;23.29;751.06;44.18;
2022-06-01 00:33:23;23.26;751.04;44.37;
2022-06-01 00:34:23;23.28;751.04;44.4;
2022-06-01 00:35:23;23.27;751.03;44.32;
2022-06-01 00:36:23;23.25;751.03;44.43;
2022-06-01 00:37:23;23.24;751.05;44.39;
2022-06-01 00:38:23;23.28;751.06;44.25;
2022-06-01 00:39:23;23.29;751.03;44.31;
2022-06-01 00:40:23;23.28;751.05;44.26;
2022-06-01 00:41:23;23.29;751.06;44.22;
2022-06-01 00:42:23;23.27;751.06;44.27;
2022-06-01 00:43:23;23.3;751.1;44.19;
2022-06-01 00:44:23;23.28;751.13;44.16;
2022-06-01 00:45:23;23.27;751.12;44.16;
2022-06-01 00:46:23;23.29;751.09;44.08;
2022-06-01 00:47:23;23.29;751.12;44.23;
2022-06-01 00:48:23;23.28;751.1;44.21;
